"","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction"
"129","158 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,5,158,432000,2015-06-07 11:39:00,NA,2015-06-07 01:32:06,-81.87508,NA,NA,NA,0,35.9879298704287,2015-06-08 00:10:13,0,91.1061886114255
"169","159 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,6,159,518400,2015-06-08 11:39:00,"arrival",2015-06-08 01:32:48,-26.512970495224,"departure",2015-06-09 09:09:25,40.8132738947868,1,35.9879298704287,2015-06-09 01:06:18,1,91.1061886114255
"216","160 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,7,160,604800,2015-06-09 11:39:00,"arrival",2015-06-09 01:33:29,1.83356829881668,NA,NA,NA,1,35.9879298704287,2015-06-10 01:35:19,1,91.1061886114255
"262","161 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,8,161,691200,2015-06-10 11:39:00,"arrival",2015-06-10 01:34:08,-1.02552329301834,"departure",2015-06-11 09:09:35,32.6122581442197,1,35.9879298704287,2015-06-11 01:33:07,1,91.1061886114255
"311","162 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,9,162,777600,2015-06-11 11:39:00,"arrival",2015-06-11 01:34:45,-2.99739644130071,"departure",2015-06-12 09:08:41,25.971668668588,1,35.9879298704287,2015-06-12 01:31:46,1,91.1061886114255
"360","163 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,10,163,864000,2015-06-12 11:39:00,"arrival",2015-06-12 01:35:21,-7.1318908850352,"departure",2015-06-13 09:08:34,25.2484332362811,1,35.9879298704287,2015-06-13 01:28:13,1,91.1061886114255
"413","164 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,11,164,950400,2015-06-13 11:39:00,"arrival",2015-06-13 01:35:54,6.88443469206492,"departure",2015-06-14 09:08:28,19.2688193996747,1,35.9879298704287,2015-06-14 01:42:47,1,91.1061886114255
"466","165 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,12,165,1036800,2015-06-14 11:39:00,"arrival final",2015-06-14 01:36:25,-11.1810679912567,"departure",2015-06-15 09:08:26,15.3495652119319,1,35.9879298704287,2015-06-15 01:25:14,1,91.1061886114255
"519","166 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,13,166,1123200,2015-06-15 11:39:00,"arrival",2015-06-15 01:36:54,-37.3110804080963,"departure",2015-06-16 09:08:25,32.2741179625193,1,35.9879298704287,2015-06-16 00:59:35,0,91.1061886114255
"572","167 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,14,167,1209600,2015-06-16 11:39:00,"arrival",2015-06-16 01:37:20,-14.2383189161619,"departure",2015-06-17 09:08:27,15.1593012054761,1,35.9879298704287,2015-06-17 01:23:06,1,91.1061886114255
"625","168 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,15,168,1296000,2015-06-17 11:39:00,"arrival",2015-06-17 01:37:45,-23.9622029185295,"departure",2015-06-18 09:08:31,24.1719816327095,1,35.9879298704287,2015-06-18 01:13:47,1,91.1061886114255
"678","169 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,2015-06-02 11:39:00,2015-07-06 03:59:00,153,187,42.62406185,-80.72698737,122,16,169,1382400,2015-06-18 11:39:00,"arrival final",2015-06-18 01:38:08,-28.298856262366,"departure",2015-06-19 09:08:38,8.84573578039805,1,35.9879298704287,2015-06-19 01:09:50,1,91.1061886114255
