"","X","new_id","colony","band_number","species_code","age","sex","fat","wing","weight","hour","minute","initials","day","month","year","banding_site","band.size","notes","tag","detected_Motus","measured","Notes","day_end_breeding","month_end_breeding","type","end_date_checked","day_end_colony","month_end_colony","release","last_day","ordinal_release","ordinal_last_day","lat2","lon2","id","count","ordinal_date","count2","date","state_evening","twilight","time_since_sunset","state_morning","sunrise","time_since_sunrise","roost","distance","time_departure","hour_sunset","direction","air_temp","precip","precip_rate","cloud_cover","temp","uwind"
"32",1354,"184 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,31,184,2678400,"2015-07-03 11:39:00","arrival","2015-07-03 01:39:03",-61.675192407767,"departure","2015-07-04 09:14:39",22.3728436628977,1,35.9879298704287,"2015-07-04 00:37:23",0,91.1061886114255,293.307724580215,19.3967408569311,-2.3283064e-10,66.4014152394086,20.3077245802153,-1.04698100392787
"33",1391,"185 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,32,185,2764800,"2015-07-04 11:39:00","arrival","2015-07-04 01:38:48",-106.155387985706,"departure","2015-07-05 09:14:58",35.4574990669886,1,35.9879298704287,"2015-07-03 23:52:38",23,91.1061886114255,293.671420652734,18.8969265323165,-2.3283064e-10,87.383253031911,20.6714206527344,-1.09609204562546
"34",1422,"186 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,33,186,2851200,"2015-07-05 11:39:00","arrival","2015-07-05 01:38:30",-105.024623274803,"departure","2015-07-06 09:15:40",28.612805835406,1,35.9879298704287,"2015-07-04 23:53:28",23,91.1061886114255,296.136933809799,18.432643818064,-2.3283064e-10,6.97198008694884,23.1369338097987,2.35639617505988
"35",1447,"187 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,34,187,2937600,"2015-07-06 11:39:00","arrival","2015-07-06 01:38:09",-464.599720513821,"departure","2015-07-07 09:16:44",36.9213147242864,1,35.9879298704287,"2015-07-05 17:53:33",17,91.1061886114255,296.063565813013,17.0425638282518,-2.3283064e-10,74.9148947901968,23.0635658130132,0.102243348602966
"36",1470,"188 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,35,188,3024000,"2015-07-07 11:39:00","arrival","2015-07-07 01:37:47",-62.002047252655,"departure","2015-07-08 09:18:13",60.4777147928874,1,35.9879298704287,"2015-07-08 00:35:46",0,91.1061886114255,293.512175220665,40.1524688580742,4.0660613159208e-05,83.2329875695466,20.5121752206654,3.51771857325291
"37",1490,"189 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,36,189,3110400,"2015-07-08 11:39:00",NA,"2015-07-08 01:37:21",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-07-09 00:15:29",0,91.1061886114255,291.476070876831,23.4080658621669,1.41082858321149e-06,42.5614964758878,18.4760708768306,-0.947211515234338
"38",1505,"190 121","Bolin",243050893,"BANS",1,"M",2,100,14.5,7,39,"MF",2,6,2015,"Bolin",0,"TAG#121",121,"yes","yes","double checked",3,7,"lake","yes",8,7,"2015-06-02 11:39:00","2015-07-09 03:59:00",153,190,42.62406185,-80.72698737,121,37,190,3196800,"2015-07-09 11:39:00",NA,"2015-07-09 01:36:54",-81.87508,NA,NA,NA,0,35.9879298704287,"2015-07-10 00:15:01",0,91.1061886114255,293.382092755521,30.4852912482974,7.54515111000019e-06,12.6040266278383,20.382092755521,2.94069415922732
"39",2,"153 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,"2015-06-02 11:39:00","2015-07-06 03:59:00",153,187,42.62406185,-80.72698737,122,0,153,0,"2015-06-02 11:39:00","arrival","2015-06-02 01:28:07",17.8229243437449,"departure","2015-06-03 09:11:36",18.5855234305064,1,35.9879298704287,"2015-06-03 01:45:56",1,91.1061886114255,288.107384431395,9.33562162998001,-2.3283064e-10,1.2261348451261,15.107384431395,-3.14249030570655
"40",8,"154 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,"2015-06-02 11:39:00","2015-07-06 03:59:00",153,187,42.62406185,-80.72698737,122,1,154,86400,"2015-06-03 11:39:00","arrival","2015-06-03 01:28:58",8.66640599966049,"departure","2015-06-04 09:10:29",21.2749911387761,1,35.9879298704287,"2015-06-04 01:37:38",1,91.1061886114255,291.305915300976,15.4916680773271,9.87100711983706e-09,5.49449543003158,18.3059153009761,-3.95796180905305
"41",25,"155 122","Bolin",243050892,"BANS",1,"M",1,97,13.6,7,39,"MF",2,6,2015,"Bolin",0,"TAG#122",122,"yes","yes","double checked",2,7,"lake","yes",5,7,"2015-06-02 11:39:00","2015-07-06 03:59:00",153,187,42.62406185,-80.72698737,122,2,155,172800,"2015-06-04 11:39:00","arrival","2015-06-04 01:29:47",12.0867033561071,"departure","2015-06-05 09:10:41",11.6083733638128,1,35.9879298704287,"2015-06-05 01:41:52",1,91.1061886114255,294.069730952252,28.9547101242977,-2.3283064e-10,37.6943396365531,21.069730952252,-0.71558384510675
